AddressID,CustomerID,Address
0,0,"7765 Megan Pine
Dyerfurt, PA 16472"
1,1,"0152 Emily Haven
Melissashire, AR 72529"
2,2,"522 Barbara Common Apt. 493
East Paul, IL 10267"
3,3,"4719 Joshua Inlet
New Michelle, NH 17251"
4,4,"49512 Denise Hills Apt. 574
West Jeremiah, CT 05318"
5,5,"056 Thomas Vista Suite 938
Amandaburgh, AL 10829"
6,6,"7282 Hubbard Roads Apt. 779
Schneiderside, CA 02373"
7,7,"5809 Avery Lodge
South Michael, SC 43930"
8,8,"79858 Virginia Row Apt. 795
Andremouth, FM 38994"
9,9,"2248 Andrea Glens
North Rachel, AS 30088"
10,0,"92299 Ross Center Apt. 753
Lake Sarah, MN 64208"
11,1,"2581 Dean Isle
South Dustin, MN 26193"
12,2,"04866 Petty Hill
North Briannastad, SD 32611"
13,3,"115 Mark Summit Suite 047
North Danielle, KY 81602"
14,4,"9594 Henry Mission Suite 534
Port Jenniferberg, ND 37274"
15,5,"730 Jamie Key Apt. 977
New Troy, WY 62362"
16,6,"31114 Amy Roads Apt. 006
Diazburgh, NM 85612"
17,7,"884 Alvarez Underpass
Montgomerytown, SC 41993"
18,8,"19131 Lambert Junctions Suite 165
Colemouth, TN 65752"
19,9,"Unit 3904 Box 1868
DPO AA 65182"
